parent_feature,child_feature,sibling_features,example_reviews,app_name,n_siblings,cluster_size,child_depth,tree_id,model_type,embedding_type,strategy,sample_size
advertising,advertisements,"[""marketing"", ""ads""]","[""Misleading advertisements of their prices.. then overcharged a lot."", ""Hey there, I just installed Replika and so far I don't intend to pay money for certain features. I wanted to let the devs know, that I wouldn't mind if they added optional video advertisements to speed up the rest period, or some other benefit. I don't mind waiting for the AI to rest currently to make more XP, but I think the option would be cool. Thanks for considering!""]",Replika: My AI Friend,2,3,2,Replika: My AI Friend__cluster_17,t-frex,allmini,balanced,0
classroom management,classroom activities,"[""educators"", ""teachers"", ""classroom management"", ""educational"", ""school"", ""teaching"", ""learning"", ""assignments""]","[""REALLY great way to keep up with each child classroom activities & work.""]",ClassDojo,8,9,4,ClassDojo__cluster_13,t-frex,allmini,balanced,0
communication updates,announcements,"[""inform"", ""reports""]","[""All in one stop shop for parent communications, class announcements, behavior/expectation tracking. Great for every grade level and for classes that have multiple instructors."", ""love how easy this app connects me to all my son's teachers as well general school announcements. without purchasing anything I can share and save messages and photos. I love how I receive email notifications plus app alerts directly to my phone. Fantastic communication tool! thankful our district uses this tool. Been using it for over 3 years and no major tech issues."", ""ClassDojo is a very useful app. Excellent way to have communication with your kids teachers. It's keep you updated with what's going on in school. Important School announcements. The only thing I don't like is that they want you to pay to upgrade to premium. The ad to upgrade is ALWAYS popping up, it's very annoying. It's a school app, i only use it for what it was intended for.""]",ClassDojo,2,3,2,ClassDojo__cluster_8,t-frex,allmini,balanced,0
account management,subscription,"[""purchasing"", ""registration"", ""account""]","[""I've payed for the yearly subscription, and now it's just gone."", ""keep the subscription approximate 500 -/rs\ud83d\ude2d."", ""I paid for the subscription but access has not been granted yet. It's almost going to be 24 hrs. Whom do I need to contact? I even emailed the support team, no response yet.""]",ELSA - Learn English Speaking,3,4,3,ELSA - Learn English Speaking__cluster_1,t-frex,allmini,balanced,0
device management,peripheral devices,"[""between devices"", ""device"", ""phones""]","[""It basically does what it's supposed to do. most technical issues are from peripheral devices.""]",Microsoft Teams,3,4,3,Microsoft Teams__cluster_7,t-frex,allmini,balanced,0
notification alerts,push notification,"[""notification"", ""alert"", ""reminder""]","[""Community & groups needs to have a push notification option. There are so many inactive groups because the members don't know when there is new activity. NO ONE can remember to check everyday. Otherwise, it's 5 stars for food & activity tracking, 3 stars for ease of use and no search function for recipe discovery."", ""Receiving push notifications after turning them off in settings. I shouldn't have to disable notifications in the android settings."", ""Reminders no longer send push notifications, even after logging out, reinstalling the app, and clearing data.""]",MyFitnessPal: Calorie Counter,3,4,3,MyFitnessPal: Calorie Counter__cluster_23,t-frex,allmini,balanced,0
payment methods,credit card,"[""bank card"", ""financial""]","[""I used to be a fan of this app but since they autobuild my credit card after having not used the app many months I now change my rating to one. I don't need this in my life."", ""I Myfitness pal team. I am living in Pakistan and using your app to daily monitor my Macros. I really love this app. The only thing is i want to use it's premium version. Can i pay with my Jazzcash billing for its premium version? I don't want to use my credit card."", ""I learned of your app in a local newspaper article. I downloaded and installed it. It offers a \""FREE\"" 30-day trial. I tapped that to try it and see what it it's all about and you don't offer it without obtaining a credit card number. Maybe alot of people are stupid enough to provide that, but not me. Probably uninstall due to your cheap underhanded tactics. Don't use the word free without it being just that""]",MyFitnessPal: Calorie Counter,2,3,2,MyFitnessPal: Calorie Counter__cluster_68,t-frex,allmini,balanced,0
ride tracking,transportation,"[""road"", ""driving"", ""drive"", ""roadside""]","[""Glad to have this option because I don't have my own transportation.""]",DoorDash - Dasher,4,5,1,DoorDash - Dasher__cluster_1,t-frex,allmini,balanced,0
travel tracking,travelling,"[""driving"", ""drive""]","[""Easy to use, fabulous to have when travelling. Great product.""]","Adobe Scan: PDF Scanner, OCR",2,3,1,"Adobe Scan: PDF Scanner, OCR__cluster_28",t-frex,allmini,balanced,0
nutrition tracking,weight loss journey,"[""nutrition management"", ""nutrition info"", ""diet journey"", ""diet plan""]","[""This app was referred to me by nutritionist to help me with my weight loss journey and it has been very helpful! It is great to be able to track what I eat and my progress. I would recommend this app!"", ""I love this app, My Fitness Pal, because it allows me to log what I eat, my exercise and water intake. It's easy, user friendly and free for basic use, however, you can upgrade to Premium membership which offers more. I needed a tool to help me get a good start on my weight loss journey in the new year and My Fitness Pal does the job. I would recommend this app and rate it with the best of them!"", ""Absolutely magnificent helper (pal) for my weight loss journey (13 kg gone baby). I used this app regularly for every single meal I had and it is a great help in making sure that I kept within my caloric limit for the day. The app is simple enough to be mindless, yet full of useful features. Definitely recommended.""]",MyFitnessPal: Calorie Counter,4,5,3,MyFitnessPal: Calorie Counter__cluster_27,t-frex,allmini,balanced,0
device sync,sync between devices,"[""sync watch"", ""phone sync""]","[""I'm currently using a galaxy buds+ and original galaxy watch 45mm. It is working perfectly with my Galaxy A71. Sync between devices is perfect and there is a thon of little customisation options for your watch or your buds that make the experience even beter.""]",Galaxy Wearable (Samsung Gear),2,3,2,Galaxy Wearable (Samsung Gear)__cluster_22,t-frex,allmini,balanced,0
camera monitoring,camera navigation,"[""camera recording"", ""camera view"", ""cameras"", ""cam"", ""video cameras""]","[""Not bad but could have been a lot better if more of the nest interface was kept as camera navigation is cumbersome now.""]",Google Home,5,6,3,Google Home__cluster_22,t-frex,allmini,balanced,0
meeting new people,meet new friends,"[""meet new people"", ""meet people"", ""meeting new"", ""new friends"", ""new people""]","[""Nice app indeed. Meet new friends and hopefully someone special""]",Tinder - Dating & Make Friends,5,6,4,Tinder - Dating & Make Friends__cluster_49,t-frex,allmini,balanced,0
cross-device transfer,transfer to new devices,"[""device"", ""across devices"", ""between devices""]","[""Easy to use and info can transfer to new devices.""]",Google Tasks,3,4,1,Google Tasks__cluster_62,t-frex,allmini,balanced,0
card linking,bank card,"[""card"", ""bit card""]","[""U guys won't allow me to add my bank card into an account and u guys blocked my main account for no reason at all pls fix my zelle account and let me use it to make money for food"", ""ZELLE WON'T ACCEPT ONE OF THE OLDEST BANKS \ud83c\udfe6 TO EVER EXIST, KEPT MAKING ME ENTER MY FU\u20acKING BANK CARD INFO (OVER & OVER & OVER & OVER AGAIN) AND THEN LOCKS ME OUT PERMANENTLY???!!! \ud83d\udd95\ud83e\udd2c\ud83d\udd95"", ""Just a crash app cant request ir send money and ny bank card is connected... Sent out the link for a friend and they couldnt even send or request.... Major fix""]",Zelle,2,3,2,Zelle__cluster_15,t-frex,allmini,balanced,0
user support,working,"[""help"", ""trying""]","[""Updated for the 3rd time... Previously 4 stars, then 1, now 2. When the app works, it's great. But not stable. I shouldn't need to reinstall and reconnect my fitbit from time to time to make it work. It's a waste of time and energy that I rather spend on working out... Today, stopped tracking steps, sleep, heart rate and no way yo add the tiles back. The app on my PC stopped to sync and won't reconnect with my fitbit and the app on the phone seemed to have lost basic tiles, pretty frustrating."", ""This app sync not working. Asking for restart of phone and even after multiple restart still issue is same.. Working same as normal watch.. No notifications and call also will come if app is running in background.. Please resolve the issue"", ""March madness 2022!! Whatever update or bug you released, click the undo button! None of my active minutes are counting as exercise, save the bs about the algorithm about \""active minutes\"" not always accountable as exercise, all has been working fine for 2 years, than suddenly 3/2022.. broken!! Restarted a billion times, re syncing and refreshing doesn't work""]",Fitbit,2,3,1,Fitbit__cluster_36,t-frex,allmini,balanced,0
